,age,gender,race,date,city,state,cause,body_camera
9,18,Male,Black,02/09/2020,Washington,DC,Gunshot,True
11,58,Male,Unknown race,31/08/2020,Meridian,ID,Gunshot,True
12,36,Male,Hispanic,31/08/2020,Aztec,NM,Gunshot,True
13,29,Male,Black,31/08/2020,Westmont,CA,Gunshot,False
15,26,Male,White,30/08/2020,Clovis,CA,Gunshot,True
16,25,Male,Hispanic,30/08/2020,Anaheim,CA,Gunshot,False
17,43,Male,Black,29/08/2020,Dearborn Heights,MI,Gunshot,False
18,44,Male,Black,29/08/2020,Daytona Beach,FL,Gunshot,True
19,Unknown,Male,Unknown race,29/08/2020,Loma,CO,Gunshot,False
20,36,Male,Hispanic,28/08/2020,Elkridge,MD,Gunshot,False
21,38,Male,White,27/08/2020,Salt Lake City,UT,Gunshot,False
22,17,Male,Hispanic,26/08/2020,Tucson,AZ,Gunshot,True
23,29,Male,Black,26/08/2020,Houston,TX,Gunshot,False
24,30,Male,Unknown race,25/08/2020,Gray,KY,Gunshot,False
25,31,Male,Black,25/08/2020,San Antonio,TX,Gunshot,False
26,41,Male,White,25/08/2020,Gray,KY,Gunshot,False
27,47,Male,Unknown race,25/08/2020,Marshall,MI,Gunshot,False
28,31,Male,Unknown race,24/08/2020,Lincolnton,NC,Gunshot,False
29,Unknown,,Unknown race,24/08/2020,Albuquerque,NM,Gunshot,False
30,47,Male,Unknown race,23/08/2020,Kingsland,GA,Gunshot,False
31,29,Male,Unknown race,22/08/2020,Rancho Cordova,CA,Gunshot,False
32,31,Male,Black,22/08/2020,Lafayette,LA,"Gunshot, Taser",False
34,35,Male,Native American,22/08/2020,Belcourt,ND,Gunshot,False
35,39,Male,Unknown race,21/08/2020,Asbury Park,NJ,Gunshot,False
36,42,Male,White,21/08/2020,Nipomo,CA,Gunshot,False
39,37,Male,White,20/08/2020,Cabot,AR,Gunshot,False
40,43,Male,White,20/08/2020,Driftwood,TX,Gunshot,False
41,Unknown,Male,Unknown race,20/08/2020,Brooksville,FL,Gunshot,False
42,21,Male,Hispanic,19/08/2020,San Benito,TX,Gunshot,False
43,39,Male,Unknown race,19/08/2020,Lake Havasu City,AZ,Gunshot,False
44,60,Male,White,19/08/2020,Chickamauga,GA,Gunshot,False
45,37,Male,Black,18/08/2020,Hope Mills,NC,Gunshot,False
47,38,Male,Unknown race,18/08/2020,Pollocksville,NC,Gunshot,False
48,27,Male,Hispanic,17/08/2020,Weslaco,TX,Gunshot,False
51,36,Male,Hispanic,17/08/2020,San Bernardino,CA,Gunshot,False
52,Unknown,Male,Hispanic,17/08/2020,Bakersfield,CA,Gunshot,False
53,27,Male,Hispanic,16/08/2020,Dos Palos,CA,Gunshot,False
54,30,Male,Unknown race,16/08/2020,Hemet,CA,Gunshot,False
55,Unknown,Male,White,16/08/2020,Las Vegas,NV,Gunshot,False
56,35,Male,White,16/08/2020,Theta,TN,Gunshot,False
57,32,Male,Black,15/08/2020,Pasadena,CA,Gunshot,False
58,41,Male,Unknown race,15/08/2020,Oak Ridge,TN,Gunshot,False
59,52,Male,White,15/08/2020,Ocala,FL,Gunshot,False
60,Unknown,Male,Unknown race,15/08/2020,Denver,CO,Gunshot,False
62,28,Male,White,14/08/2020,Fort Lauderdale,FL,Gunshot,False
63,39,Male,Hispanic,14/08/2020,Phoenix,AZ,Gunshot,False
66,48,Female,Unknown race,11/08/2020,Pueblo,CO,Gunshot,False
67,50,Male,White,11/08/2020,Albuquerque,NM,Gunshot,False
68,Unknown,Male,Unknown race,11/08/2020,Tulsa,OK,Gunshot,False
69,32,Male,White,10/08/2020,Las Vegas,NV,Gunshot,True
70,38,Male,White,10/08/2020,Robbins,NC,Gunshot,False
71,40,Male,Hispanic,10/08/2020,Grand Island,NE,Gunshot,False
73,48,Male,Hispanic,10/08/2020,Albuquerque,NM,Gunshot,False
74,26,Male,Hispanic,09/08/2020,El Paso,TX,Gunshot,False
75,39,Male,Unknown race,09/08/2020,Graham,WA,Gunshot,False
76,42,Male,White,09/08/2020,Tulsa,OK,Gunshot,False
77,21,Male,White,08/08/2020,Clinton,UT,Gunshot,False
78,25,Male,White,08/08/2020,Tulsa,OK,Gunshot,False
79,39,Male,White,08/08/2020,Holladay,UT,Gunshot,True
80,Unknown,Male,Unknown race,08/08/2020,St. Croix Falls,WI,Gunshot,False
81,Unknown,Male,Black,08/08/2020,Bossier City,LA,Gunshot,False
82,22,Male,Black,07/08/2020,Orlando,FL,Gunshot,True
85,Unknown,Male,Hispanic,07/08/2020,Rancho Mirage,CA,Gunshot,False
86,55,Male,White,07/08/2020,St. Petersburg,FL,Gunshot,False
88,35,Male,Unknown race,06/08/2020,Oakland,CA,Gunshot,False
90,30,Male,Black,06/08/2020,Ventnor City,NJ,Gunshot,False
91,29,Male,Hispanic,05/08/2020,San Angelo,TX,Gunshot,False
92,30,Male,Unknown race,04/08/2020,West Valley City,UT,Gunshot,False
94,39,Female,Unknown race,04/08/2020,Fort Dodge,IA,Gunshot,False
95,44,Male,White,04/08/2020,Warren,OH,Gunshot,False
96,67,Male,Unknown race,04/08/2020,James Island,SC,Gunshot,False
98,36,Male,White,04/08/2020,Port Orchard,WA,Gunshot,False
99,38,Male,White,03/08/2020,Mooresville,NC,Gunshot,False
101,17,Male,Unknown race,02/08/2020,West Jordan,UT,Gunshot,False
102,63,Female,White,02/08/2020,Sarasota,FL,"Gunshot, Taser",False
103,56,Male,White,01/08/2020,Homestead,FL,Gunshot,False
106,49,Male,Unknown race,31/07/2020,Morristown,TN,Gunshot,False
108,28,Male,Black,30/07/2020,Detroit,MI,"Gunshot, Taser",False
110,39,Male,Hispanic,30/07/2020,Mission,TX,Gunshot,False
111,21,Male,Unknown race,29/07/2020,North Las Vegas,NV,Gunshot,False
112,25,Male,Unknown race,29/07/2020,Bothell,WA,Gunshot,False
113,37,Male,Unknown race,29/07/2020,Lake Charles,LA,Gunshot,False
115,32,Male,Unknown race,28/07/2020,Canton,NC,Gunshot,False
116,47,Male,White,28/07/2020,North Port,FL,Gunshot,False
119,22,Male,Unknown race,26/07/2020,Mount Airy,NC,Gunshot,False
120,35,Male,White,25/07/2020,Salt Lake City,UT,Gunshot,True
121,49,Male,White,25/07/2020,The Village,OK,Gunshot,False
122,45,Male,Black,24/07/2020,Roxboro,NC,Gunshot,False
123,60,Male,Unknown race,24/07/2020,Stockton,CA,Gunshot,False
124,41,Male,Unknown race,24/07/2020,Baytown,TX,Gunshot,False
125,Unknown,Male,Unknown race,24/07/2020,West End,FL,Gunshot,False
126,51,Male,White,23/07/2020,Eureka,CA,Gunshot,True
127,Unknown,Male,Black,23/07/2020,Detroit,MI,Gunshot,True
128,30,Male,White,22/07/2020,Oklahoma City,OK,Gunshot,True
130,49,Female,Unknown race,22/07/2020,Clearwater,FL,Gunshot,False
131,22,Male,Black,21/07/2020,Sacramento,CA,Gunshot,True
132,33,Male,Unknown race,20/07/2020,Chula Vista,CA,Gunshot,False
133,51,Male,Black,20/07/2020,Baton Rouge,LA,Gunshot,True
135,24,Male,Black,18/07/2020,Chicago Heights,IL,Gunshot,False
136,Unknown,Male,Unknown race,17/07/2020,Fruita,CO,Gunshot,False
137,24,Male,Unknown race,17/07/2020,Houston,TX,Gunshot,False
138,33,Male,White,16/07/2020,Benjamin,TX,Gunshot,False
139,Unknown,Male,White,16/07/2020,Shoreline,WA,Gunshot,False
140,Unknown,Male,White,16/07/2020,North Fort Myers,FL,Gunshot,False
142,39,Male,Unknown race,15/07/2020,Stockton,CA,Gunshot,False
143,28,Male,Hispanic,14/07/2020,Deming,NM,Gunshot,False
144,32,Male,Hispanic,14/07/2020,Knoxville,TN,Gunshot,False
145,43,Male,White,14/07/2020,Grand Ledge,MI,Gunshot,True
146,24,Male,White,14/07/2020,Morris Township,NJ,Gunshot,False
147,17,Male,Black,13/07/2020,Austell,GA,Gunshot,False
149,59,Male,Unknown race,13/07/2020,Rockwood,TN,Gunshot,False
150,28,Male,Unknown race,12/07/2020,Chamblee,GA,Gunshot,False
151,47,Male,Unknown race,12/07/2020,Leesburg,GA,Gunshot,False
152,36,Female,White,12/07/2020,Dayton,OH,Gunshot,False
153,23,Male,Hispanic,11/07/2020,Monument,CO,Gunshot,False
154,26,Male,Unknown race,11/07/2020,Greenville,SC,Gunshot,False
155,20,Male,Black,10/07/2020,Detroit,MI,Gunshot,True
157,31,Male,Unknown race,10/07/2020,Panama City Beach,FL,Gunshot,False
158,60,Male,White,10/07/2020,Forksville,PA,Gunshot,False
161,49,Male,Black,09/07/2020,San Diego,CA,Gunshot,True
165,62,Male,White,07/07/2020,Etowah,TN,Gunshot,False
166,Unknown,Male,Black,07/07/2020,Houston,TX,Gunshot,False
167,36,Male,Hispanic,07/07/2020,Fresno,CA,Gunshot,False
168,35,Male,Black,06/07/2020,Milwaukee,WI,Gunshot,False
169,40,Male,Unknown race,06/07/2020,Smithfield Township,PA,Gunshot,False
172,30,Male,Unknown race,05/07/2020,Muncie,IN,Gunshot,True
173,Unknown,,Unknown race,05/07/2020,Chino,CA,Gunshot,False
174,17,Male,Hispanic,04/07/2020,Jacksonville,FL,Gunshot,False
175,70,Male,Unknown race,04/07/2020,Phoenix,AZ,Gunshot,False
177,28,Male,Hispanic,04/07/2020,Phoenix,AZ,Gunshot,True
178,58,Male,Unknown race,03/07/2020,Welches,OR,Gunshot,False
179,31,Male,Black,02/07/2020,Kansas City,MO,Gunshot,False
180,32,Male,Black,02/07/2020,Sheboygan,WI,"Gunshot, Taser",True
182,34,Male,White,01/07/2020,Durango,CO,Gunshot,False
183,49,Male,White,01/07/2020,Myrtle Beach,SC,Gunshot,False
185,62,Male,Unknown race,30/06/2020,Johnson City,TN,Gunshot,False
188,48,Male,White,29/06/2020,Hazleton,PA,Gunshot,False
189,57,Male,White,29/06/2020,Paducah,KY,Gunshot,False
190,68,Male,White,28/06/2020,Kettering,OH,Gunshot,False
193,33,Male,White,27/06/2020,Hebron,KY,Gunshot,False
194,40,Female,White,27/06/2020,Port Richey,FL,Gunshot,False
195,57,Male,White,27/06/2020,Crossville,TN,Gunshot,False
196,58,Male,Black,27/06/2020,Little Rock,AR,"Gunshot, Taser",False
197,30,Male,White,26/06/2020,Elko,NV,Gunshot,False
198,38,Male,White,26/06/2020,Muncie,IN,Gunshot,False
200,27,Male,White,25/06/2020,Auburndale,FL,Gunshot,False
201,37,Male,Hispanic,25/06/2020,Cumberland,GA,Gunshot,False
202,Unknown,Female,Unknown race,25/06/2020,Plano,TX,Gunshot,False
203,34,Male,Black,25/06/2020,Vinita,OK,Gunshot,False
205,Unknown,Female,Asian,24/06/2020,Lake Forest,CA,Gunshot,False
208,43,Male,Hispanic,23/06/2020,Pueblo,CO,Gunshot,False
210,43,Male,Black,22/06/2020,Giddings,TX,Gunshot,False
212,Unknown,Male,Unknown race,22/06/2020,Aurora,CO,Gunshot,True
214,Unknown,Male,Unknown race,22/06/2020,Palm Desert,CA,Gunshot,False
215,19,Male,Unknown race,21/06/2020,Milpitas,CA,"Gunshot, Taser",False
216,35,Male,Hispanic,20/06/2020,Lake Charles,LA,Gunshot,False
217,24,Male,White,19/06/2020,Sodus,NY,Gunshot,True
218,25,Male,Native American,19/06/2020,Jay,OK,Gunshot,False
219,18,Male,Hispanic,18/06/2020,Gardena,CA,Gunshot,False
220,19,Male,White,18/06/2020,Billings,MT,Gunshot,False
222,38,Male,White,18/06/2020,Westminster,CO,Gunshot,False
223,31,Male,Black,17/06/2020,Rosamond,CA,Gunshot,False
225,Unknown,Male,White,17/06/2020,Lovelock,NV,"Gunshot, Taser",False
227,24,Male,Black,16/06/2020,Beach Park,IL,Gunshot,False
228,27,Male,Black,16/06/2020,Phoenix,AZ,Gunshot,False
229,31,Male,White,15/06/2020,Lawrence,KS,Gunshot,False
230,22,Male,White,13/06/2020,Kansas City,MO,Gunshot,False
231,21,Male,Hispanic,13/06/2020,San Bernardino,CA,Gunshot,False
232,25,Female,White,13/06/2020,Sedalia,MO,Gunshot,False
233,23,Male,Black,12/06/2020,Crown Point,IN,Gunshot,False
234,27,Male,Black,12/06/2020,Atlanta,GA,Gunshot,True
235,28,Male,White,11/06/2020,Dowelltown,TN,Gunshot,False
236,63,Male,Black,11/06/2020,Lancaster,CA,Gunshot,False
239,26,Male,White,10/06/2020,Paso Robles,CA,Gunshot,False
240,36,Male,Unknown race,10/06/2020,Winter Haven,FL,Gunshot,False
241,59,Male,Unknown race,10/06/2020,Weippe,ID,Gunshot,False
242,31,Male,White,09/06/2020,Englewood,CO,Gunshot,False
243,38,Male,Black,09/06/2020,Orlando,FL,Gunshot,False
244,59,Male,Unknown race,09/06/2020,Bigfork,MT,Gunshot,False
246,81,Male,Unknown race,08/06/2020,Las Cruces,NM,Gunshot,False
247,35,Male,White,07/06/2020,Industry,CA,Gunshot,False
248,39,Male,Unknown race,07/06/2020,Adrian,MO,Gunshot,False
249,26,Male,Unknown race,07/06/2020,East Northport,NY,Gunshot,False
253,37,Male,Unknown race,06/06/2020,Clarkrange,TN,Gunshot,False
254,23,Male,Hispanic,06/06/2020,Oakland,CA,Gunshot,False
255,24,Male,Black,05/06/2020,New Rochelle,NY,Gunshot,False
256,42,Male,White,05/06/2020,Mustang,OK,Gunshot,False
257,60,Male,Unknown race,05/06/2020,Socorro,TX,Gunshot,False
258,25,Male,Hispanic,03/06/2020,Corpus Christi,TX,Gunshot,False
259,39,Female,White,03/06/2020,Poteau,OK,Gunshot,False
260,44,Male,White,03/06/2020,Aiken,SC,Gunshot,False
261,36,Male,White,03/06/2020,Bryant,AR,Gunshot,False
262,22,Male,Hispanic,02/06/2020,Vallejo,CA,Gunshot,False
263,33,Male,Black,02/06/2020,Brooklyn,NY,Gunshot,True
264,65,Male,White,02/06/2020,Cottonwood,CA,Gunshot,False
265,25,Male,Hispanic,01/06/2020,Las Vegas,NV,Gunshot,False
266,53,Male,Black,01/06/2020,Louisville,KY,Gunshot,True
267,36,Male,White,01/06/2020,Fayetteville,AR,Gunshot,False
268,32,Male,White,31/05/2020,Watertown,WI,"Gunshot, Taser",False
269,49,Male,White,31/05/2020,Gresham,OR,Gunshot,False
270,46,Male,Black,30/05/2020,Fountain,FL,Gunshot,False
271,21,Female,Asian,29/05/2020,Temple Terrace,FL,Gunshot,False
272,32,Male,Asian,29/05/2020,San Diego,CA,Gunshot,False
273,34,Male,Black,29/05/2020,Philadelphia,PA,Gunshot,False
275,39,Male,Black,29/05/2020,Snellville,GA,Gunshot,False
276,Unknown,Male,White,29/05/2020,Lancaster,CA,Gunshot,False
277,44,Male,Black,29/05/2020,Yulee,FL,Gunshot,False
279,35,Male,Black,28/05/2020,North Little Rock,AR,Gunshot,False
280,52,Male,White,28/05/2020,Ogden,UT,Gunshot,False
281,Unknown,Male,Unknown race,28/05/2020,Fontana,CA,"Gunshot, Taser",True
283,31,Male,White,28/05/2020,Centennial,CO,Gunshot,False
284,30,Male,Unknown race,27/05/2020,Wilburton,OK,Gunshot,False
285,35,Male,Black,27/05/2020,Marrero,LA,"Gunshot, Taser",True
286,38,Transgender,Black,27/05/2020,Tallahassee,FL,Gunshot,False
287,50,Male,Hispanic,27/05/2020,North Hollywood,CA,Gunshot,False
288,58,Male,White,27/05/2020,Geneseo,NY,Gunshot,False
289,Unknown,Male,Hispanic,27/05/2020,Fullerton,CA,Gunshot,False
